"R{""p_coumaric_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.89
7200, 1.0
10800, 1.02
14400, 0.85
18000, 0.92
21600, 0.96
25200, 0.98
28800, 1.13
32400, 1.16
36000, 1.05
39600, 1.16
43200, 1.14
46800, 0.85
50400, 0.85
54000, 1.08
57600, 1.1
61200, 0.87
64800, 1.06
68400, 0.96
72000, 1.08
75600, 0.86
79200, 1.1
82800, 0.88
86400, 1.15
90000, 0.8
93600, 0.84
97200, 0.93
100800, 0.91
104400, 0.99
108000, 0.81
111600, 1.04
115200, 0.83
118800, 1.17
122400, 0.8
126000, 1.0
129600, 0.89
133200, 0.93
136800, 1.07
140400, 1.05
144000, 1.03
147600, 0.97
151200, 0.91
154800, 0.96
158400, 0.88
162000, 1.1
165600, 0.87
169200, 0.89
172800, 0.96

"R{""caffeic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 9.57
7200, 9.45
10800, 9.93
14400, 9.62
18000, 9.75
21600, 9.4
25200, 9.63
28800, 8.93
32400, 9.6
36000, 8.81
39600, 9.65
43200, 8.98
46800, 9.19
50400, 9.37
54000, 9.67
57600, 9.08
61200, 9.18
64800, 8.87
68400, 9.51
72000, 9.59
75600, 9.43
79200, 9.48
82800, 9.0
86400, 9.48
90000, 9.36
93600, 9.37
97200, 9.9
100800, 8.84
104400, 9.77
108000, 9.36
111600, 9.2
115200, 9.74
118800, 10.05
122400, 8.95
126000, 9.81
129600, 9.42
133200, 9.48
136800, 8.98
140400, 9.6
144000, 8.86
147600, 9.74
151200, 9.24
154800, 9.33
158400, 9.24
162000, 9.71
165600, 9.81
169200, 9.6
172800, 10.02

"R{""ferulic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.05
7200, 0.01
10800, 0.02
14400, 0.02
18000, 0.01
21600, 0.01
25200, 0.0
28800, 0.03
32400, 0.01
36000, 0.01
39600, 0.0
43200, 0.03
46800, 0.0
50400, 0.02
54000, 0.0
57600, 0.02
