"R{""p_coumaric_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.56
7200, 0.71
10800, 0.64
14400, 0.59
18000, 0.54
21600, 0.71
25200, 0.58
28800, 0.57
32400, 0.65
36000, 0.59
39600, 0.6
43200, 0.59
46800, 0.56
50400, 0.54
54000, 0.56
57600, 0.65
61200, 0.62
64800, 0.58
68400, 0.62
72000, 0.62
75600, 0.74
79200, 0.66
82800, 0.62
86400, 0.62
90000, 0.67
93600, 0.66
97200, 0.63
100800, 0.56
104400, 0.54
108000, 0.56
111600, 0.59
115200, 0.68
118800, 0.7
122400, 0.69
126000, 0.58
129600, 0.53
133200, 0.53
136800, 0.65
140400, 0.71
144000, 0.62
147600, 0.66
151200, 0.64
154800, 0.7
158400, 0.65
162000, 0.64
165600, 0.65
169200, 0.69
172800, 0.51

"R{""caffeic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 2.22
7200, 1.96
10800, 2.09
14400, 2.25
18000, 2.18
21600, 1.96
25200, 1.98
28800, 2.27
32400, 2.12
36000, 2.22
39600, 2.01
43200, 2.22
46800, 2.06
50400, 2.06
54000, 2.15
57600, 2.38
61200, 2.16
64800, 2.23
68400, 2.1
72000, 2.04
75600, 1.93
79200, 1.99
82800, 2.33
86400, 2.13
90000, 2.53
93600, 2.01
97200, 2.39
100800, 2.26
104400, 2.05
108000, 2.17
111600, 2.24
115200, 1.98
118800, 2.07
122400, 2.26
126000, 2.11
129600, 2.31
133200, 2.11
136800, 1.96
140400, 2.33
144000, 2.14
147600, 2.3
151200, 2.44
154800, 2.33
158400, 2.21
162000, 2.14
165600, 2.2
169200, 2.36
172800, 2.03

"R{""ferulic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.0
7200, 0.0
10800, 0.01
14400, 0.0
18000, 0.0
21600, 0.0
25200, 0.01
28800, 0.0
32400, 0.0
36000, 0.0
39600, 0.0
43200, 0.0
46800, 0.0
50400, 0.0
54000, 0.0
57600, 0.0
61200, 0.01
64800, 0.0
68400, 0.0
72000, 0.0
75600, 0.0
79200, 0.0
82800, 0.0
86400, 0.0
90000, 0.0
93600, 0.0
97200, 0.0
100800, 0.0
104400, 0.0
108000, 0.0
111600, 0.0
115200, 0.0
118800, 0.0
122400, 0.0
126000, 0.0
129600, 0.0
133200, 0.0
136800, 0.0
140400, 0.0
144000, 0.0
147600, 0.0
151200, 0.0
154800, 0.0
158400, 0.0
162000, 0.0
165600, 0.0
169200, 0.0
172800, 0.0

"R{""p_coumaroyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.79
7200, 0.92
10800, 1.0
14400, 0.9
18000, 0.82
21600, 0.9
25200, 0.77
28800, 0.95
32400, 0.72
36000, 1.04
39600, 0.83
43200, 0.8
46800, 0.95
50400, 0.98
54000, 1.08
57600, 1.02
61200, 0.94
64800, 0.88
68400, 0.91
72000, 0.82
75600, 0.87
79200, 0.88
82800, 0.94
86400, 0.93
90000, 0.89
93600, 0.85
97200, 0.86
100800, 0.86
104400, 0.95
108000, 0.91
111600, 0.9
115200, 0.92
118800, 0.86
122400, 0.73
126000, 0.97
129600, 0.81
133200, 0.62
136800, 0.92
140400, 0.93
144000, 0.94
147600, 0.84
151200, 0.99
154800, 0.82
158400, 1.1
162000, 0.8
165600, 1.21
169200, 0.93
172800, 0.92

"R{""caffeoyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 5.97
7200, 6.14
10800, 6.21
14400, 5.78
18000, 5.86
21600, 6.16
25200, 5.53
28800, 5.82
32400, 5.67
36000, 6.11
39600, 5.72
43200, 5.83
46800, 5.71
50400, 5.65
54000, 6.38
57600, 6.41
61200, 6.0
64800, 5.65
68400, 6.2
72000, 5.96
75600, 6.21
79200, 5.62
82800, 5.89
86400, 5.8
90000, 5.57
93600, 6.14
97200, 6.15
100800, 6.34
104400, 6.33
108000, 5.57
111600, 5.8
115200, 5.96
118800, 6.15
122400, 5.95
126000, 6.08
129600, 6.23
133200, 5.77
136800, 6.2
140400, 5.66
144000, 5.72
147600, 6.08
151200, 5.9
154800, 5.81
158400, 5.82
162000, 5.82
165600, 5.63
169200, 5.39
172800, 5.65

"R{""feruloyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 4879.34
7200, 9766.51
10800, 14654.25
14400, 19532.33
18000, 24405.22
21600, 29281.82
25200, 34172.44
28800, 39031.01
32400, 43919.79
36000, 48814.44
39600, 53691.93
43200, 58574.53
46800, 63466.66
50400, 68367.69
54000, 73247.65
57600, 78132.06
61200, 83028.82
64800, 87907.42
68400, 92782.53
72000, 97659.59
75600, 102558.58
