"R{""p_coumaric_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.76
7200, 0.7
10800, 0.76
14400, 0.59
18000, 0.64
21600, 0.66
25200, 0.65
28800, 0.7
32400, 0.58
36000, 0.56
39600, 0.74
43200, 0.76
46800, 0.69
50400, 0.77
54000, 0.52
57600, 0.56
61200, 0.53
64800, 0.55
68400, 0.45
72000, 0.62
75600, 0.53
79200, 0.6
82800, 0.63
86400, 0.57
90000, 0.56
93600, 0.68
97200, 0.52
100800, 0.53
104400, 0.57
108000, 0.49
111600, 0.61
115200, 0.49
118800, 0.69
122400, 0.62
126000, 0.54
129600, 0.64
133200, 0.58
136800, 0.58
140400, 0.68
144000, 0.55
147600, 0.49
151200, 0.62
154800, 0.54
158400, 0.81
162000, 0.62
165600, 0.6
169200, 0.63
172800, 0.59

"R{""caffeic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 2.17
7200, 1.83
10800, 1.99
14400, 2.27
18000, 2.03
21600, 2.27
25200, 2.18
28800, 2.37
32400, 2.3
36000, 2.42
39600, 2.2
43200, 2.14
46800, 2.17
50400, 2.16
54000, 2.3
57600, 2.16
61200, 2.11
64800, 2.02
68400, 2.06
72000, 2.36
75600, 2.13
79200, 2.04
82800, 1.93
86400, 2.11
90000, 2.1
93600, 2.12
97200, 2.15
100800, 1.86
104400, 2.15
108000, 2.27
111600, 2.09
115200, 2.16
118800, 2.09
122400, 2.07
126000, 1.85
129600, 2.11
133200, 2.1
136800, 2.38
140400, 2.22
144000, 2.6
147600, 2.06
151200, 1.84
154800, 1.91
158400, 2.24
162000, 2.3
165600, 2.24
169200, 2.08
172800, 2.04

"R{""ferulic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.0
7200, 0.0
10800, 0.0
14400, 0.0
18000, 0.0
21600, 0.0
25200, 0.0
28800, 0.0
32400, 0.01
36000, 0.01
39600, 0.0
43200, 0.0
46800, 0.0
50400, 0.0
54000, 0.0
57600, 0.0
61200, 0.0
64800, 0.0
68400, 0.0
72000, 0.0
75600, 0.0
79200, 0.0
82800, 0.0
86400, 0.0
90000, 0.0
93600, 0.01
97200, 0.0
100800, 0.0
104400, 0.0
108000, 0.0
111600, 0.0
115200, 0.0
118800, 0.0
122400, 0.0
126000, 0.0
129600, 0.0
133200, 0.0
136800, 0.0
140400, 0.0
144000, 0.0
147600, 0.0
151200, 0.0
154800, 0.0
158400, 0.0
162000, 0.01
165600, 0.01
169200, 0.0
172800, 0.0

"R{""p_coumaroyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.73
7200, 0.97
10800, 0.84
14400, 0.82
18000, 0.94
21600, 0.76
25200, 0.9
28800, 0.95
32400, 0.93
36000, 0.77
39600, 0.89
43200, 0.61
46800, 0.71
50400, 0.92
54000, 0.88
57600, 0.75
61200, 0.85
64800, 0.85
68400, 0.87
72000, 0.94
75600, 0.9
79200, 0.8
82800, 0.83
86400, 0.79
90000, 1.04
93600, 0.8
97200, 0.93
100800, 0.94
104400, 0.98
108000, 0.79
111600, 0.96
115200, 0.79
118800, 1.09
122400, 0.89
126000, 0.69
129600, 0.94
133200, 0.95
136800, 0.72
140400, 0.8
144000, 0.8
147600, 0.82
151200, 0.89
154800, 0.8
158400, 0.83
162000, 0.97
165600, 0.77
169200, 0.87
172800, 0.88

"R{""caffeoyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 2.4
7200, 2.44
10800, 2.23
14400, 2.09
18000, 2.58
21600, 2.36
25200, 2.04
28800, 2.11
32400, 2.28
36000, 2.47
39600, 2.12
43200, 2.37
46800, 2.56
50400, 2.21
54000, 2.45
57600, 2.0
61200, 2.09
64800, 2.16
68400, 2.37
72000, 2.61
75600, 2.43
79200, 2.33
82800, 2.23
86400, 2.27
90000, 2.1
93600, 2.35
97200, 2.08
100800, 2.26
104400, 2.32
108000, 2.57
111600, 2.26
115200, 2.2
118800, 2.36
122400, 2.0
126000, 2.07
129600, 2.35
133200, 2.46
136800, 2.44
140400, 2.19
144000, 2.29
147600, 2.01
151200, 2.13
154800, 2.21
158400, 2.31
162000, 2.22
165600, 2.03
169200, 2.44
172800, 2.4

"R{""feruloyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 4770.21
7200, 9528.09
10800, 14295.25
14400, 19056.63
18000, 23828.0
21600, 28584.23
25200, 33338.48
28800, 38110.6
32400, 42886.72
36000, 47641.87
39600, 52393.98
43200, 57164.18
46800, 61927.14
50400, 66694.97
54000, 71455.08
57600, 76222.83
61200, 80974.62
64800, 85739.82
68400, 90508.98
72000, 95278.71
75600, 100033.13
79200, 104808.13
82800, 109578.99
86400, 114351.43
90000, 119112.05
93600, 123879.03
97200, 128640.05
100800, 133409.65
104400, 138173.07
108000, 142930.81
111600, 147684.1
115200, 152441.81
118800, 157208.35
122400, 161977.16
126000, 166750.53
129600, 171509.13
133200, 176282.79
136800, 181047.11
140400, 185804.07
144000, 190561.35
147600, 195350.54
151200, 200098.99
