"R{""p_coumaric_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 1.19
7200, 1.18
10800, 1.16
14400, 1.28
18000, 1.24
21600, 1.31
25200, 1.16
28800, 1.32
32400, 1.33
36000, 1.21
39600, 1.25
43200, 1.23
46800, 1.32
50400, 1.33
54000, 1.49
57600, 1.31
61200, 1.34
64800, 1.23
68400, 1.41
72000, 1.56
75600, 1.14
79200, 1.36
82800, 1.36
86400, 1.35
90000, 1.41
93600, 1.31
97200, 1.4
100800, 1.26
104400, 1.16
108000, 1.21
111600, 1.39
115200, 1.24
118800, 1.14
122400, 1.17
126000, 1.23
129600, 1.35
133200, 1.43
136800, 1.27
140400, 1.38
144000, 1.26
147600, 1.4
151200, 1.39
154800, 1.27
158400, 1.14
162000, 1.39
165600, 1.43
169200, 1.21
172800, 1.17

"R{""caffeic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 4.31
7200, 4.02
10800, 4.21
14400, 4.85
18000, 4.5
21600, 4.67
25200, 4.17
28800, 4.33
32400, 4.6
36000, 4.62
39600, 3.98
43200, 4.66
46800, 4.38
50400, 4.48
54000, 4.89
57600, 4.49
61200, 4.35
64800, 4.67
68400, 4.49
72000, 4.55
75600, 4.21
79200, 4.19
82800, 4.33
86400, 4.41
90000, 4.4
93600, 4.77
97200, 4.14
100800, 4.28
104400, 4.62
108000, 4.4
111600, 4.6
115200, 4.48
118800, 4.36
122400, 4.22
126000, 4.19
129600, 4.36
133200, 4.45
136800, 4.23
140400, 4.76
144000, 4.66
147600, 4.66
151200, 4.25
154800, 4.66
158400, 4.22
162000, 4.06
165600, 4.24
169200, 4.75
172800, 4.64

"R{""ferulic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.0
7200, 0.01
10800, 0.0
14400, 0.0
18000, 0.0
21600, 0.0
25200, 0.01
28800, 0.0
32400, 0.0
36000, 0.0
39600, 0.0
43200, 0.0
46800, 0.02
50400, 0.01
54000, 0.0
57600, 0.0
61200, 0.0
64800, 0.01
68400, 0.0
72000, 0.0
75600, 0.0
79200, 0.0
82800, 0.0
86400, 0.0
90000, 0.0
93600, 0.0
97200, 0.01
100800, 0.0
104400, 0.0
108000, 0.0
111600, 0.0
115200, 0.0
118800, 0.01
122400, 0.01
126000, 0.0
129600, 0.0
133200, 0.01
136800, 0.0
140400, 0.0
144000, 0.0
147600, 0.0
151200, 0.0
154800, 0.0
158400, 0.0
162000, 0.01
165600, 0.0
169200, 0.0
172800, 0.01

"R{""p_coumaroyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 1.95
7200, 2.26
10800, 2.18
14400, 2.11
18000, 1.86
21600, 1.95
25200, 2.14
28800, 2.11
32400, 1.59
36000, 1.93
39600, 1.79
43200, 2.22
46800, 2.03
50400, 2.11
54000, 2.13
57600, 1.79
61200, 1.91
64800, 1.89
68400, 1.83
72000, 2.03
75600, 1.73
79200, 2.31
82800, 2.08
86400, 2.06
90000, 2.24
93600, 2.13
97200, 2.18
100800, 2.33
104400, 2.1
108000, 1.69
111600, 1.92
115200, 1.83
118800, 2.05
122400, 1.96
126000, 2.26
129600, 2.08
133200, 1.96
136800, 1.92
140400, 2.09
144000, 1.82
147600, 2.08
151200, 2.32
154800, 2.21
158400, 1.92
162000, 2.06
165600, 2.12
169200, 1.95
172800, 1.96

"R{""caffeoyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 4.43
7200, 4.59
10800, 4.62
14400, 4.08
18000, 4.41
21600, 4.78
25200, 4.91
28800, 4.61
32400, 4.48
36000, 4.72
39600, 4.18
43200, 4.96
46800, 4.46
50400, 4.68
54000, 4.72
57600, 4.3
61200, 4.39
64800, 4.5
68400, 4.3
72000, 4.68
75600, 4.81
79200, 4.93
82800, 4.36
86400, 4.87
90000, 4.98
93600, 4.73
97200, 5.07
100800, 4.63
104400, 4.69
108000, 4.72
111600, 4.79
115200, 4.87
118800, 4.85
122400, 4.54
126000, 4.3
129600, 4.69
133200, 4.61
136800, 4.38
140400, 5.02
144000, 5.15
147600, 4.5
151200, 4.82
154800, 4.47
158400, 4.78
162000, 4.99
165600, 4.89
169200, 5.02
172800, 4.54

"R{""feruloyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 9807.24
7200, 19632.94
10800, 29454.58
14400, 39285.75
18000, 49097.64
21600, 58903.77
25200, 68715.57
28800, 78536.42
32400, 88357.53
36000, 98193.37
39600, 107992.49
43200, 117818.59
46800, 127640.43
50400, 137460.21
54000, 147284.16
57600, 157116.29
61200, 166927.64
64800, 176734.17
68400, 186538.08
72000, 196351.84
75600, 206162.63
79200, 215981.18
82800, 225803.03
86400, 235606.68
90000, 245391.86
93600, 255206.22
97200, 265006.88
100800, 274813.44
104400, 284626.48
108000, 294437.64
111600, 304251.78
115200, 314070.68
118800, 323870.71
122400, 333703.67
126000, 343522.39
129600, 353321.35
133200, 363159.86
136800, 372974.87
140400, 382792.1
144000, 392599.36
147600, 402420.19
151200, 412216.31
154800, 422024.01
158400, 431831.04
162000, 441628.3
165600, 451441.55
169200, 461270.77
172800, 471088.12

"R{""feruloylacetyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 43.06
7200, 85.79
10800, 128.89
14400, 171.54
18000, 213.06
21600, 255.75
25200, 297.75
28800, 339.82
32400, 383.34
36000, 426.14
39600, 468.21
43200, 510.2
46800, 553.48
50400, 596.61
54000, 638.82
57600, 682.37
61200, 725.24
64800, 766.67
68400, 808.8
72000, 851.87
75600, 895.31
79200, 937.7
82800, 980.22
86400, 1022.63
90000, 1065.76
93600, 1109.4
97200, 1153.1
100800, 1195.54
104400, 1239.24
108000, 1281.96
111600, 1324.41
115200, 1366.32
118800, 1409.37
122400, 1450.93
126000, 1493.45
129600, 1536.62
133200, 1579.63
136800, 1621.45
140400, 1664.72
144000, 1707.6
147600, 1750.78
151200, 1793.95
154800, 1837.23
158400, 1880.21
162000, 1922.98
165600, 1965.88
169200, 2009.21
172800, 2052.53

"R{""demethoxy_or_bisdemethoxy_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.0
7200, 0.0
10800, 0.0
14400, 0.0
18000, 0.0
21600, 0.0
25200, 0.0
28800, 0.0
32400, 0.0
36000, 0.0
39600, 0.0
43200, 0.0
46800, 0.0
50400, 0.0
54000, 0.0
57600, 0.0
61200, 0.0
64800, 0.0
68400, 0.0
72000, 0.0
75600, 0.0
79200, 0.0
82800, 0.0
86400, 0.0
90000, 0.0
93600, 0.0
97200, 0.0
100800, 0.0
104400, 0.0
108000, 0.0
111600, 0.0
115200, 0.0
118800, 0.0
122400, 0.0
126000, 0.0
129600, 0.0
133200, 0.0
136800, 0.0
140400, 0.0
144000, 0.0
147600, 0.0
151200, 0.0
154800, 0.0
158400, 0.0
162000, 0.0
165600, 0.0
169200, 0.0
172800, 0.0

"R{""demethoxy_or_curcumin_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.0
7200, 0.0
10800, 0.0
14400, 0.0
18000, 0.0
21600, 0.0
25200, 0.0
28800, 0.0
32400, 0.0
36000, 0.0
39600, 0.0
43200, 0.0
46800, 0.0
50400, 0.0
54000, 0.0
57600, 0.0
61200, 0.0
64800, 0.0
68400, 0.0
72000, 0.0
75600, 0.0
79200, 0.0
82800, 0.0
86400, 0.0
90000, 0.0
93600, 0.0
97200, 0.0
100800, 0.0
104400, 0.0
108000, 0.0
111600, 0.0
115200, 0.0
118800, 0.0
122400, 0.0
126000, 0.0
129600, 0.0
133200, 0.0
136800, 0.0
140400, 0.0
144000, 0.0
147600, 0.0
151200, 0.0
154800, 0.0
158400, 0.0
162000, 0.0
165600, 0.0
169200, 0.0
172800, 0.0

"R{""curcumin_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.0
7200, 0.0
10800, 0.0
14400, 0.0
18000, 0.0
21600, 0.0
25200, 0.0
28800, 0.0
32400, 0.0
36000, 0.0
39600, 0.0
43200, 0.0
46800, 0.0
50400, 0.0
54000, 0.0
57600, 0.0
61200, 0.0
64800, 0.0
68400, 0.0
72000, 0.0
75600, 0.0
79200, 0.0
82800, 0.0
86400, 0.0
90000, 0.0
93600, 0.0
97200, 0.0
100800, 0.0
104400, 0.0
108000, 0.0
111600, 0.0
115200, 0.0
118800, 0.0
122400, 0.0
126000, 0.0
129600, 0.0
133200, 0.0
136800, 0.0
140400, 0.0
144000, 0.0
147600, 0.0
151200, 0.0
154800, 0.0
158400, 0.0
162000, 0.0
165600, 0.0
169200, 0.0
172800, 0.0
