R{"p_coumaric_acid_produced"}=? [ I=T ]:
T	Result
0	0.0
3600	0.97
7200	0.94
10800	0.94
14400	0.99
18000	0.94
21600	1.13
25200	1.0
28800	0.82
32400	0.89
36000	1.03
39600	1.13
43200	0.99
46800	0.95
50400	0.99
54000	1.08
57600	0.88
61200	1.09
64800	1.14
68400	0.81
72000	1.03
75600	0.82
79200	0.83
82800	1.05
86400	1.07
90000	1.01
93600	0.95
97200	0.85
100800	1.06
104400	1.01
108000	0.92
111600	0.9
115200	1.01
118800	0.91
122400	1.14
126000	1.07
129600	1.12
133200	0.9
136800	1.08
140400	0.99
144000	1.1
147600	0.98
151200	1.06
154800	0.84
158400	0.97
162000	1.04
165600	0.9
169200	0.93
172800	0.83

R{"caffeic_acid_produced"}=? [ I=T ]:
T	Result
0	0.0
3600	9.35
7200	9.08
10800	9.04
14400	9.39
18000	9.58
21600	9.21
25200	9.22
28800	9.47
32400	9.42
36000	9.11
39600	9.5
43200	9.48
46800	9.73
50400	9.49
54000	9.49
57600	8.75
61200	9.35
64800	9.29
68400	9.42
72000	9.0
75600	9.13
79200	9.37
82800	9.67
86400	9.58
90000	9.32
93600	9.74
97200	9.62
100800	9.44
104400	9.29
108000	9.77
111600	9.7
115200	9.47
118800	9.55
122400	9.04
126000	9.22
129600	10.34
133200	9.0
136800	9.44
140400	9.42
144000	9.18
147600	9.01
151200	9.01
154800	9.5
158400	9.27
162000	9.21
165600	9.16
169200	9.48
172800	9.18

R{"ferulic_acid_produced"}=? [ I=T ]:
T	Result
0	0.0
3600	0.01
7200	0.02
10800	0.01
14400	0.03
18000	0.03
21600	0.0
25200	0.02
28800	0.02
32400	0.04
36000	0.03
39600	0.01
43200	0.05
46800	0.02
50400	0.03
54000	0.0
57600	0.03
61200	0.0
64800	0.02
68400	0.02
72000	0.02
75600	0.02
79200	0.02
82800	0.01
86400	0.01
90000	0.0
93600	0.01
97200	0.02
100800	0.03
104400	0.02
108000	0.02
111600	0.03
115200	0.0
118800	0.02
122400	0.01
126000	0.02
129600	0.04
133200	0.01
136800	0.0
140400	0.01
144000	0.0
147600	0.0
151200	0.02
154800	0.03
158400	0.01
162000	0.02
165600	0.02
169200	0.01
172800	0.04

R{"p_coumaroyl_CoA_produced"}=? [ I=T ]:
T	Result
0	0.0
3600	0.32
7200	0.59
10800	0.68
14400	0.7
18000	0.5
21600	0.72
25200	0.49
28800	0.43
32400	0.48
36000	0.49
39600	0.56
43200	0.44
46800	0.49
50400	0.52
54000	0.43
57600	0.5
61200	0.47
64800	0.45
68400	0.59
72000	0.57
75600	0.59
79200	0.61
82800	0.36
86400	0.41
90000	0.64
93600	0.43
97200	0.56
100800	0.53
104400	0.61
108000	0.44
111600	0.57
